"","logFC","logCPM","PValue","FDR"
"ENSG00000183242",-4.90667839975666,-0.935918739399223,1.86217601323068e-64,2.10984542299036e-62
"ENSG00000128567",-4.53178677572352,7.67769091094839,1.97534583998094e-64,2.2257018265509e-62
"ENSG00000158296",-4.5220227690032,7.90806015578248,3.34851510324961e-64,3.75217675910289e-62
"ENSG00000197099",-4.63784842117891,0.500475667370827,5.87053160075939e-64,6.542274397043e-62
"ENSG00000249550",7.84973984329304,0.150673693168098,7.1351578338332e-64,7.90839178604317e-62
"ENSG00000121743",-4.71699438756357,-0.265368113028892,1.24966818004037e-63,1.37760718182396e-61
"ENSG00000159263",-4.49697174179194,3.06060140419873,1.98083708123804e-63,2.17189201262197e-61
"ENSG00000259754",-4.66502208405511,-0.00978968425621388,2.47500718797148e-63,2.69921372147007e-61
"ENSG00000105143",6.90219801929858,1.22120144041259,2.54601847703105e-63,2.76188834151975e-61
"ENSG00000151834",-4.48741743827658,3.77711785239931,2.80262573235808e-63,3.02416662358258e-61
"ENSG00000124467",8.53974503769311,-0.312553542148529,3.82670400397912e-63,4.10746323458686e-61
"ENSG00000164520",-4.97429612479716,-1.36168569049236,4.84689053482391e-63,5.17526102446067e-61
"ENSG00000242515",6.78932974022444,1.35684294369384,8.46569603914652e-63,8.99215651158095e-61
"ENSG00000164007",-4.4635999765535,5.22050420098259,8.59815970971035e-63,9.08553726009496e-61
"ENSG00000106809",-4.47111443143908,2.29247176651278,1.08394884425684e-62,1.13948725411207e-60
"ENSG00000007908",-4.44703793297637,2.39057086028193,3.77567811459099e-62,3.94877843430608e-60
"ENSG00000179399",-4.43230153169738,2.35336164990376,8.48640312370328e-62,8.8301890461635e-60
"ENSG00000227338",-4.53990224370303,0.477953815861651,8.61220694757542e-62,8.91560144613468e-60
"ENSG00000272068",6.28730753942795,3.89738792416805,8.99270395864695e-62,9.26248507740635e-60
"ENSG00000205277",6.55465659616855,1.74662456137493,1.07089112024673e-61,1.09747505056843e-59
"ENSG00000127412",-4.54945882053244,0.195551605355128,2.01590639015667e-61,2.05561974604276e-59
"ENSG00000130208",6.15149955323975,5.07617308446998,5.93131535237121e-61,6.01807190528649e-59
"ENSG00000166148",-4.35555670212507,2.84879468537632,4.22339945949335e-60,4.26396082063898e-58
"ENSG00000231252",6.35528898898066,1.91862869872554,5.36304887278824e-60,5.38788269515484e-58
"ENSG00000138696",-4.3443953380905,3.56093411580316,6.3449250159209e-60,6.34305886150446e-58
"ENSG00000260057",-4.48352458795062,0.00220673917947222,1.43388593475811e-59,1.42647169529058e-57
"ENSG00000180251",-4.32578402199501,4.08079349150365,1.56558991495648e-59,1.54993401580691e-57
"ENSG00000136944",-4.34169500210383,1.64570427079946,1.65832651247681e-59,1.63381212055324e-57
"ENSG00000062038",-4.3201735818926,3.93034396362262,2.15872497511745e-59,2.11658832416083e-57
"ENSG00000066382",-4.31469722441309,3.15246937275422,3.39671200438715e-59,3.31447581901778e-57
"ENSG00000077009",6.00681793705545,5.90713362564909,4.62222633376535e-59,4.48884208813384e-57
"ENSG00000107447",7.18084437077583,0.018618273433709,6.0843934471508e-59,5.88081137256841e-57
"ENSG00000071991",-4.70664967282772,-1.27704877337368,6.67483632448459e-59,6.42106660384617e-57
"ENSG00000066230",-4.28216284158501,5.1191488908955,1.43471059022679e-58,1.37368487216362e-56
"ENSG00000123496",-4.34628805538659,1.12976135063861,1.68451837687106e-58,1.60533026999572e-56
"ENSG00000174498",-4.7925534736127,-1.580566681647,1.97247488403424e-58,1.87100710627881e-56
"ENSG00000196616",-4.27277626219283,6.11051545516031,2.24825781663169e-58,2.12273008853642e-56
"ENSG00000165272",-4.26110298872194,7.74980879674128,4.03716989942527e-58,3.79419552667645e-56
"ENSG00000123610",5.93366017390995,5.51810603400679,4.20974220150181e-58,3.93823314024899e-56
"ENSG00000183888",-4.95140624417177,-1.94090105055423,4.67192026770903e-58,4.35064575066932e-56
"ENSG00000287335",6.13274721240109,2.16675350537692,5.21531624283582e-58,4.8345981571088e-56
"ENSG00000126562",-4.23865761510661,4.75823168392485,1.4769606580322e-57,1.362947314928e-55
"ENSG00000107159",5.99715743829,2.97314223557205,1.80190088558283e-57,1.65531381353947e-55
"ENSG00000197085",-4.67304355777396,-1.42433307781152,1.97227837223047e-57,1.80370605933938e-55
"ENSG00000101204",-4.31087544874456,0.791967494129861,2.50048587462864e-57,2.27009437280047e-55
"ENSG00000183715",-4.30080339398842,0.970177382977566,2.50451718093608e-57,2.27009437280047e-55
"ENSG00000122254",5.98506365485825,2.6255152900601,5.94665848830361e-57,5.36620146948955e-55
"ENSG00000161992",-4.21862545390301,2.66650977750882,6.37307253751962e-57,5.72565820837776e-55
"ENSG00000250799",-4.20774427061349,5.75983841044571,7.08987489277646e-57,6.34170651593347e-55
"ENSG00000126861",5.92886972741069,3.17271565425754,8.09323597237652e-57,7.2075744288492e-55
"ENSG00000112936",-4.20187909226083,8.35664086310785,9.171492154626e-57,8.13232221745403e-55
"ENSG00000075290",-4.65765800178244,-1.50773583322788,1.21254860476185e-56,1.07050719677547e-54
"ENSG00000109158",-4.68162324416639,-1.57722212512996,1.35288740288756e-56,1.18925800407279e-54
"ENSG00000164266",-4.20878557795522,1.80663373712837,1.64329459380743e-56,1.43834119940381e-54
"ENSG00000133636",-4.26703602609307,0.810678370192107,2.11333179479738e-56,1.84184994115802e-54
"ENSG00000113578",-4.16949833716652,5.45516941655738,5.37141185393049e-56,4.66147120634291e-54
"ENSG00000043591",-4.40701173213684,-0.732666327156146,7.87909770007274e-56,6.80874230912218e-54
"ENSG00000254126",-4.57299261271211,-1.41535747599643,9.74192861808654e-56,8.38299123363953e-54
"ENSG00000254202",-4.8455589845483,-2.02636326328794,1.05664957137899e-55,9.05433250365674e-54
"ENSG00000276289",-4.65071512808331,-1.6339372493908,1.07660595362592e-55,9.18673716244642e-54
"ENSG00000071909",-4.15773254188123,3.42354173794698,1.25536449272695e-55,1.06674597769473e-53
"ENSG00000204033",7.5572377855678,-0.688645456239081,1.6065042116168e-55,1.35946252662709e-53
"ENSG00000153012",-4.13657786694204,3.52073318635581,3.71721108799115e-55,3.13004462790212e-53
