"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000138442.10","HAVANA","gene",NA,NA,"ENSG00000138442.10","protein_coding","WDR12","2","HGNC:14098","OTTHUMG00000132855.5"
"ENSG00000138443.17","HAVANA","gene",NA,NA,"ENSG00000138443.17","protein_coding","ABI2","1","HGNC:24011","OTTHUMG00000132879.16"
"ENSG00000138448.12","HAVANA","gene",NA,NA,"ENSG00000138448.12","protein_coding","ITGAV","2","HGNC:6150","OTTHUMG00000132635.6"
"ENSG00000138449.11","HAVANA","gene",NA,NA,"ENSG00000138449.11","protein_coding","SLC40A1","2","HGNC:10909","OTTHUMG00000132662.4"
"ENSG00000138459.9","HAVANA","gene",NA,NA,"ENSG00000138459.9","protein_coding","SLC35A5","2","HGNC:20792","OTTHUMG00000159263.3"
"ENSG00000138463.9","HAVANA","gene",NA,NA,"ENSG00000138463.9","protein_coding","SLC49A4","2","HGNC:16628","OTTHUMG00000159553.3"
"ENSG00000138468.16","HAVANA","gene",NA,NA,"ENSG00000138468.16","protein_coding","SENP7","2","HGNC:30402","OTTHUMG00000149927.4"
"ENSG00000138472.11","HAVANA","gene",NA,NA,"ENSG00000138472.11","protein_coding","GUCA1C","2","HGNC:4680","OTTHUMG00000159204.3"
"ENSG00000138495.7","HAVANA","gene",NA,NA,"ENSG00000138495.7","protein_coding","COX17","1","HGNC:2264","OTTHUMG00000159433.3"
"ENSG00000138496.16","HAVANA","gene",NA,NA,"ENSG00000138496.16","protein_coding","PARP9","1","HGNC:24118","OTTHUMG00000159522.3"
"ENSG00000138587.6","HAVANA","gene",NA,NA,"ENSG00000138587.6","protein_coding","MNS1","2","HGNC:29636","OTTHUMG00000132034.4"
"ENSG00000138592.14","HAVANA","gene",NA,NA,"ENSG00000138592.14","protein_coding","USP8","1","HGNC:12631","OTTHUMG00000131645.9"
"ENSG00000138593.9","HAVANA","gene",NA,NA,"ENSG00000138593.9","protein_coding","SECISBP2L","1","HGNC:28997","OTTHUMG00000172194.3"
"ENSG00000138594.14","HAVANA","gene",NA,NA,"ENSG00000138594.14","protein_coding","TMOD3","1","HGNC:11873","OTTHUMG00000131803.8"
"ENSG00000138600.10","HAVANA","gene",NA,NA,"ENSG00000138600.10","protein_coding","SPPL2A","2","HGNC:30227","OTTHUMG00000131647.6"
"ENSG00000138604.10","HAVANA","gene",NA,NA,"ENSG00000138604.10","protein_coding","GLCE","2","HGNC:17855","OTTHUMG00000172084.6"
"ENSG00000138606.19","HAVANA","gene",NA,NA,"ENSG00000138606.19","protein_coding","SHF","1","HGNC:25116","OTTHUMG00000131353.5"
"ENSG00000138613.14","HAVANA","gene",NA,NA,"ENSG00000138613.14","protein_coding","APH1B","1","HGNC:24080","OTTHUMG00000132863.5"
"ENSG00000138614.15","HAVANA","gene",NA,NA,"ENSG00000138614.15","protein_coding","INTS14","1","HGNC:25372","OTTHUMG00000133159.12"
"ENSG00000138615.6","HAVANA","gene",NA,NA,"ENSG00000138615.6","protein_coding","CILP","2","HGNC:1980","OTTHUMG00000133140.3"
"ENSG00000138617.16","HAVANA","gene",NA,NA,"ENSG00000138617.16","protein_coding","PARP16","1","HGNC:26040","OTTHUMG00000133138.6"
"ENSG00000138621.12","HAVANA","gene",NA,NA,"ENSG00000138621.12","protein_coding","PPCDC","1","HGNC:28107","OTTHUMG00000142824.6"
"ENSG00000138622.4","HAVANA","gene",NA,NA,"ENSG00000138622.4","protein_coding","HCN4","2","HGNC:16882","OTTHUMG00000137563.3"
"ENSG00000138623.10","HAVANA","gene",NA,NA,"ENSG00000138623.10","protein_coding","SEMA7A","2","HGNC:10741","OTTHUMG00000139000.5"
"ENSG00000138629.16","HAVANA","gene",NA,NA,"ENSG00000138629.16","protein_coding","UBL7","1","HGNC:28221","OTTHUMG00000139001.6"
"ENSG00000138639.18","HAVANA","gene",NA,NA,"ENSG00000138639.18","protein_coding","ARHGAP24","2","HGNC:25361","OTTHUMG00000130427.6"
"ENSG00000138640.15","HAVANA","gene",NA,NA,"ENSG00000138640.15","protein_coding","FAM13A","2","HGNC:19367","OTTHUMG00000161006.3"
"ENSG00000138641.18","HAVANA","gene",NA,NA,"ENSG00000138641.18","protein_coding","HERC3","2","HGNC:4876","OTTHUMG00000150436.9"
"ENSG00000138642.15","HAVANA","gene",NA,NA,"ENSG00000138642.15","protein_coding","HERC6","2","HGNC:26072","OTTHUMG00000160983.6"
"ENSG00000138646.9","HAVANA","gene",NA,NA,"ENSG00000138646.9","protein_coding","HERC5","2","HGNC:24368","OTTHUMG00000130953.6"
"ENSG00000138650.9","HAVANA","gene",NA,NA,"ENSG00000138650.9","protein_coding","PCDH10","1","HGNC:13404","OTTHUMG00000161301.5"
"ENSG00000138658.16","HAVANA","gene",NA,NA,"ENSG00000138658.16","protein_coding","ZGRF1","2","HGNC:25654","OTTHUMG00000132908.4"
"ENSG00000138660.12","HAVANA","gene",NA,NA,"ENSG00000138660.12","protein_coding","AP1AR","2","HGNC:28808","OTTHUMG00000132849.3"
"ENSG00000138663.9","HAVANA","gene",NA,NA,"ENSG00000138663.9","protein_coding","COPS4","1","HGNC:16702","OTTHUMG00000130298.4"
"ENSG00000138668.19","HAVANA","gene",NA,NA,"ENSG00000138668.19","protein_coding","HNRNPD","1","HGNC:5036","OTTHUMG00000130290.5"
"ENSG00000138669.9","HAVANA","gene",NA,NA,"ENSG00000138669.9","protein_coding","PRKG2","2","HGNC:9416","OTTHUMG00000130296.3"
"ENSG00000138670.18","HAVANA","gene",NA,NA,"ENSG00000138670.18","protein_coding","RASGEF1B","2","HGNC:24881","OTTHUMG00000160890.7"
"ENSG00000138674.17","HAVANA","gene",NA,NA,"ENSG00000138674.17","protein_coding","SEC31A","1","HGNC:17052","OTTHUMG00000130297.12"
"ENSG00000138675.16","HAVANA","gene",NA,NA,"ENSG00000138675.16","protein_coding","FGF5","2","HGNC:3683","OTTHUMG00000130288.2"
"ENSG00000138678.11","HAVANA","gene",NA,NA,"ENSG00000138678.11","protein_coding","GPAT3","2","HGNC:28157","OTTHUMG00000130431.4"
"ENSG00000138685.17","HAVANA","gene",NA,NA,"ENSG00000138685.17","protein_coding","FGF2","2","HGNC:3676","OTTHUMG00000039506.5"
"ENSG00000138686.10","HAVANA","gene",NA,NA,"ENSG00000138686.10","protein_coding","BBS7","2","HGNC:18758","OTTHUMG00000133076.3"
"ENSG00000138688.15","HAVANA","gene",NA,NA,"ENSG00000138688.15","protein_coding","KIAA1109","1","HGNC:26953","OTTHUMG00000150116.4"
"ENSG00000138696.11","HAVANA","gene",NA,NA,"ENSG00000138696.11","protein_coding","BMPR1B","2","HGNC:1077","OTTHUMG00000130991.6"
"ENSG00000138698.15","HAVANA","gene",NA,NA,"ENSG00000138698.15","protein_coding","RAP1GDS1","1","HGNC:9859","OTTHUMG00000160987.12"
"ENSG00000138709.19","HAVANA","gene",NA,NA,"ENSG00000138709.19","protein_coding","LARP1B","1","HGNC:24704","OTTHUMG00000133343.7"
"ENSG00000138722.10","HAVANA","gene",NA,NA,"ENSG00000138722.10","protein_coding","MMRN1","1","HGNC:7178","OTTHUMG00000130947.3"
"ENSG00000138735.16","HAVANA","gene",NA,NA,"ENSG00000138735.16","protein_coding","PDE5A","2","HGNC:8784","OTTHUMG00000132971.7"
"ENSG00000138738.11","HAVANA","gene",NA,NA,"ENSG00000138738.11","protein_coding","PRDM5","2","HGNC:9349","OTTHUMG00000132970.2"
"ENSG00000138741.11","HAVANA","gene",NA,NA,"ENSG00000138741.11","protein_coding","TRPC3","1","HGNC:12335","OTTHUMG00000133069.5"
"ENSG00000138744.16","HAVANA","gene",NA,NA,"ENSG00000138744.16","protein_coding","NAAA","1","HGNC:736","OTTHUMG00000160855.10"
"ENSG00000138750.15","HAVANA","gene",NA,NA,"ENSG00000138750.15","protein_coding","NUP54","1","HGNC:17359","OTTHUMG00000130098.5"
"ENSG00000138755.6","HAVANA","gene",NA,NA,"ENSG00000138755.6","protein_coding","CXCL9","2","HGNC:7098","OTTHUMG00000160889.2"
"ENSG00000138756.18","HAVANA","gene",NA,NA,"ENSG00000138756.18","protein_coding","BMP2K","2","HGNC:18041","OTTHUMG00000160900.2"
"ENSG00000138757.15","HAVANA","gene",NA,NA,"ENSG00000138757.15","protein_coding","G3BP2","2","HGNC:30291","OTTHUMG00000130097.14"
"ENSG00000138758.12","HAVANA","gene",NA,NA,"ENSG00000138758.12","protein_coding","SEPTIN11","1","HGNC:25589","OTTHUMG00000160854.2"
"ENSG00000138759.19","HAVANA","gene",NA,NA,"ENSG00000138759.19","protein_coding","FRAS1","1","HGNC:19185","OTTHUMG00000160856.5"
"ENSG00000138760.10","HAVANA","gene",NA,NA,"ENSG00000138760.10","protein_coding","SCARB2","1","HGNC:1665","OTTHUMG00000130099.7"
"ENSG00000138764.15","HAVANA","gene",NA,NA,"ENSG00000138764.15","protein_coding","CCNG2","2","HGNC:1593","OTTHUMG00000130100.5"
"ENSG00000138767.13","HAVANA","gene",NA,NA,"ENSG00000138767.13","protein_coding","CNOT6L","2","HGNC:18042","OTTHUMG00000160832.7"
"ENSG00000138768.15","HAVANA","gene",NA,NA,"ENSG00000138768.15","protein_coding","USO1","2","HGNC:30904","OTTHUMG00000160952.9"
"ENSG00000138769.11","HAVANA","gene",NA,NA,"ENSG00000138769.11","protein_coding","CDKL2","1","HGNC:1782","OTTHUMG00000130103.3"
"ENSG00000138771.16","HAVANA","gene",NA,NA,"ENSG00000138771.16","protein_coding","SHROOM3","1","HGNC:30422","OTTHUMG00000157075.4"
"ENSG00000138772.13","HAVANA","gene",NA,NA,"ENSG00000138772.13","protein_coding","ANXA3","1","HGNC:541","OTTHUMG00000130198.10"
"ENSG00000138777.20","HAVANA","gene",NA,NA,"ENSG00000138777.20","protein_coding","PPA2","1","HGNC:28883","OTTHUMG00000128781.12"
"ENSG00000138778.13","HAVANA","gene",NA,NA,"ENSG00000138778.13","protein_coding","CENPE","2","HGNC:1856","OTTHUMG00000160980.9"
"ENSG00000138780.15","HAVANA","gene",NA,NA,"ENSG00000138780.15","protein_coding","GSTCD","2","HGNC:25806","OTTHUMG00000131211.7"
"ENSG00000138785.15","HAVANA","gene",NA,NA,"ENSG00000138785.15","protein_coding","INTS12","2","HGNC:25067","OTTHUMG00000131215.9"
"ENSG00000138792.10","HAVANA","gene",NA,NA,"ENSG00000138792.10","protein_coding","ENPEP","2","HGNC:3355","OTTHUMG00000132546.4"
"ENSG00000138794.10","HAVANA","gene",NA,NA,"ENSG00000138794.10","protein_coding","CASP6","1","HGNC:1507","OTTHUMG00000131914.5"
"ENSG00000138795.10","HAVANA","gene",NA,NA,"ENSG00000138795.10","protein_coding","LEF1","2","HGNC:6551","OTTHUMG00000131809.7"
"ENSG00000138796.17","HAVANA","gene",NA,NA,"ENSG00000138796.17","protein_coding","HADH","2","HGNC:4799","OTTHUMG00000131810.7"
"ENSG00000138798.13","HAVANA","gene",NA,NA,"ENSG00000138798.13","protein_coding","EGF","1","HGNC:3229","OTTHUMG00000132044.8"
"ENSG00000138801.9","HAVANA","gene",NA,NA,"ENSG00000138801.9","protein_coding","PAPSS1","2","HGNC:8603","OTTHUMG00000131210.4"
"ENSG00000138802.11","HAVANA","gene",NA,NA,"ENSG00000138802.11","protein_coding","SEC24B","1","HGNC:10704","OTTHUMG00000161372.3"
"ENSG00000138814.17","HAVANA","gene",NA,NA,"ENSG00000138814.17","protein_coding","PPP3CA","1","HGNC:9314","OTTHUMG00000133839.8"
"ENSG00000138821.13","HAVANA","gene",NA,NA,"ENSG00000138821.13","protein_coding","SLC39A8","2","HGNC:20862","OTTHUMG00000131120.3"
"ENSG00000138823.13","HAVANA","gene",NA,NA,"ENSG00000138823.13","protein_coding","MTTP","1","HGNC:7467","OTTHUMG00000131023.5"
"ENSG00000138829.12","HAVANA","gene",NA,NA,"ENSG00000138829.12","protein_coding","FBN2","1","HGNC:3604","OTTHUMG00000163082.4"
"ENSG00000138834.14","HAVANA","gene",NA,NA,"ENSG00000138834.14","protein_coding","MAPK8IP3","2","HGNC:6884","OTTHUMG00000128637.6"
"ENSG00000138835.22","HAVANA","gene",NA,NA,"ENSG00000138835.22","protein_coding","RGS3","1","HGNC:9999","OTTHUMG00000021048.9"
"ENSG00000138867.17","HAVANA","gene",NA,NA,"ENSG00000138867.17","protein_coding","GUCD1","1","HGNC:14237","OTTHUMG00000150728.3"
"ENSG00000138942.16","HAVANA","gene",NA,NA,"ENSG00000138942.16","protein_coding","RNF185","2","HGNC:26783","OTTHUMG00000151253.4"
"ENSG00000138944.8","HAVANA","gene",NA,NA,"ENSG00000138944.8","protein_coding","SHISAL1","1","HGNC:29335","OTTHUMG00000030991.3"
"ENSG00000138964.17","HAVANA","gene",NA,NA,"ENSG00000138964.17","protein_coding","PARVG","2","HGNC:14654","OTTHUMG00000150473.10"
"ENSG00000139044.12","HAVANA","gene",NA,NA,"ENSG00000139044.12","protein_coding","B4GALNT3","1","HGNC:24137","OTTHUMG00000129283.7"
"ENSG00000139055.7","HAVANA","gene",NA,NA,"ENSG00000139055.7","protein_coding","ERP27","1","HGNC:26495","OTTHUMG00000168741.2"
"ENSG00000139083.11","HAVANA","gene",NA,NA,"ENSG00000139083.11","protein_coding","ETV6","1","HGNC:3495","OTTHUMG00000168538.3"
"ENSG00000139112.11","HAVANA","gene",NA,NA,"ENSG00000139112.11","protein_coding","GABARAPL1","2","HGNC:4068","OTTHUMG00000168411.10"
"ENSG00000139116.19","HAVANA","gene",NA,NA,"ENSG00000139116.19","protein_coding","KIF21A","2","HGNC:19349","OTTHUMG00000169335.4"
"ENSG00000139117.14","HAVANA","gene",NA,NA,"ENSG00000139117.14","protein_coding","CPNE8","2","HGNC:23498","OTTHUMG00000169396.4"
"ENSG00000139131.13","HAVANA","gene",NA,NA,"ENSG00000139131.13","protein_coding","YARS2","2","HGNC:24249","OTTHUMG00000169454.3"
"ENSG00000139132.14","HAVANA","gene",NA,NA,"ENSG00000139132.14","protein_coding","FGD4","1","HGNC:19125","OTTHUMG00000137374.7"
"ENSG00000139133.7","HAVANA","gene",NA,NA,"ENSG00000139133.7","protein_coding","ALG10","2","HGNC:23162","OTTHUMG00000169285.3"
"ENSG00000139144.11","HAVANA","gene",NA,NA,"ENSG00000139144.11","protein_coding","PIK3C2G","1","HGNC:8973","OTTHUMG00000168841.7"
"ENSG00000139146.14","HAVANA","gene",NA,NA,"ENSG00000139146.14","protein_coding","SINHCAF","2","HGNC:30702","OTTHUMG00000168586.3"
"ENSG00000139154.16","HAVANA","gene",NA,NA,"ENSG00000139154.16","protein_coding","AEBP2","2","HGNC:24051","OTTHUMG00000168906.7"
"ENSG00000139155.9","HAVANA","gene",NA,NA,"ENSG00000139155.9","protein_coding","SLCO1C1","2","HGNC:13819","OTTHUMG00000168966.2"
"ENSG00000139160.13","HAVANA","gene",NA,NA,"ENSG00000139160.13","protein_coding","ETFBKMT","1","HGNC:28739","OTTHUMG00000169085.3"
"ENSG00000139163.16","HAVANA","gene",NA,NA,"ENSG00000139163.16","protein_coding","ETNK1","1","HGNC:24649","OTTHUMG00000169008.9"
"ENSG00000139168.9","HAVANA","gene",NA,NA,"ENSG00000139168.9","protein_coding","ZCRB1","2","HGNC:29620","OTTHUMG00000169382.2"
"ENSG00000139173.10","HAVANA","gene",NA,NA,"ENSG00000139173.10","protein_coding","TMEM117","2","HGNC:25308","OTTHUMG00000169427.4"
"ENSG00000139174.12","HAVANA","gene",NA,NA,"ENSG00000139174.12","protein_coding","PRICKLE1","2","HGNC:17019","OTTHUMG00000169443.5"
"ENSG00000139178.11","HAVANA","gene",NA,NA,"ENSG00000139178.11","protein_coding","C1RL","1","HGNC:21265","OTTHUMG00000168144.4"
"ENSG00000139180.11","HAVANA","gene",NA,NA,"ENSG00000139180.11","protein_coding","NDUFA9","1","HGNC:7693","OTTHUMG00000168224.7"
"ENSG00000139182.15","HAVANA","gene",NA,NA,"ENSG00000139182.15","protein_coding","CLSTN3","1","HGNC:18371","OTTHUMG00000168167.5"
"ENSG00000139187.10","HAVANA","gene",NA,NA,"ENSG00000139187.10","protein_coding","KLRG1","2","HGNC:6380","OTTHUMG00000168277.3"
"ENSG00000139190.17","HAVANA","gene",NA,NA,"ENSG00000139190.17","protein_coding","VAMP1","1","HGNC:12642","OTTHUMG00000168269.2"
"ENSG00000139192.12","HAVANA","gene",NA,NA,"ENSG00000139192.12","protein_coding","TAPBPL","1","HGNC:30683","OTTHUMG00000168317.2"
"ENSG00000139193.4","HAVANA","gene",NA,NA,"ENSG00000139193.4","protein_coding","CD27","2","HGNC:11922","OTTHUMG00000168316.1"
"ENSG00000139194.8","HAVANA","gene",NA,NA,"ENSG00000139194.8","protein_coding","RBP5","2","HGNC:15847","OTTHUMG00000168165.3"
"ENSG00000139197.11","HAVANA","gene",NA,NA,"ENSG00000139197.11","protein_coding","PEX5","2","HGNC:9719","OTTHUMG00000168175.5"
"ENSG00000139200.14","HAVANA","gene",NA,NA,"ENSG00000139200.14","protein_coding","PIANP","2","HGNC:25338","OTTHUMG00000168664.3"
"ENSG00000139209.16","HAVANA","gene",NA,NA,"ENSG00000139209.16","protein_coding","SLC38A4","1","HGNC:14679","OTTHUMG00000169518.4"
"ENSG00000139211.7","HAVANA","gene",NA,NA,"ENSG00000139211.7","protein_coding","AMIGO2","2","HGNC:24073","OTTHUMG00000169616.1"
"ENSG00000139218.18","HAVANA","gene",NA,NA,"ENSG00000139218.18","protein_coding","SCAF11","1","HGNC:10784","OTTHUMG00000149930.9"
"ENSG00000139220.17","HAVANA","gene",NA,NA,"ENSG00000139220.17","protein_coding","PPFIA2","2","HGNC:9246","OTTHUMG00000170181.5"
"ENSG00000139233.7","HAVANA","gene",NA,NA,"ENSG00000139233.7","protein_coding","LLPH","2","HGNC:28229","OTTHUMG00000168959.4"
"ENSG00000139239.7","HAVANA","gene",NA,NA,"ENSG00000139239.7","processed_pseudogene","RPL14P1","2","HGNC:31384","OTTHUMG00000157598.1"
"ENSG00000139263.12","HAVANA","gene",NA,NA,"ENSG00000139263.12","protein_coding","LRIG3","2","HGNC:30991","OTTHUMG00000169940.2"
"ENSG00000139266.6","HAVANA","gene",NA,NA,"ENSG00000139266.6","protein_coding","MARCHF9","2","HGNC:25139","OTTHUMG00000170456.2"
"ENSG00000139269.3","HAVANA","gene",NA,NA,"ENSG00000139269.3","protein_coding","INHBE","2","HGNC:24029","OTTHUMG00000169995.3"
"ENSG00000139278.10","HAVANA","gene",NA,NA,"ENSG00000139278.10","protein_coding","GLIPR1","1","HGNC:17001","OTTHUMG00000169757.3"
"ENSG00000139289.13","HAVANA","gene",NA,NA,"ENSG00000139289.13","protein_coding","PHLDA1","2","HGNC:8933","OTTHUMG00000169783.2"
"ENSG00000139291.14","HAVANA","gene",NA,NA,"ENSG00000139291.14","protein_coding","TMEM19","2","HGNC:25605","OTTHUMG00000169558.4"
"ENSG00000139292.13","HAVANA","gene",NA,NA,"ENSG00000139292.13","protein_coding","LGR5","2","HGNC:4504","OTTHUMG00000169543.2"
"ENSG00000139304.16","HAVANA","gene",NA,NA,"ENSG00000139304.16","protein_coding","PTPRQ","1","HGNC:9679","OTTHUMG00000170171.10"
"ENSG00000139318.8","HAVANA","gene",NA,NA,"ENSG00000139318.8","protein_coding","DUSP6","2","HGNC:3072","OTTHUMG00000169912.5"
"ENSG00000139323.14","HAVANA","gene",NA,NA,"ENSG00000139323.14","protein_coding","POC1B","2","HGNC:30836","OTTHUMG00000169944.2"
"ENSG00000139324.12","HAVANA","gene",NA,NA,"ENSG00000139324.12","protein_coding","TMTC3","1","HGNC:26899","OTTHUMG00000169887.4"
"ENSG00000139329.5","HAVANA","gene",NA,NA,"ENSG00000139329.5","protein_coding","LUM","2","HGNC:6724","OTTHUMG00000170074.3"
"ENSG00000139343.10","HAVANA","gene",NA,NA,"ENSG00000139343.10","protein_coding","SNRPF","2","HGNC:11162","OTTHUMG00000170351.1"
"ENSG00000139344.8","HAVANA","gene",NA,NA,"ENSG00000139344.8","protein_coding","AMDHD1","2","HGNC:28577","OTTHUMG00000170353.4"
"ENSG00000139350.12","HAVANA","gene",NA,NA,"ENSG00000139350.12","protein_coding","NEDD1","2","HGNC:7723","OTTHUMG00000170604.3"
"ENSG00000139351.15","HAVANA","gene",NA,NA,"ENSG00000139351.15","protein_coding","SYCP3","2","HGNC:18130","OTTHUMG00000150132.3"
"ENSG00000139352.4","HAVANA","gene",NA,NA,"ENSG00000139352.4","protein_coding","ASCL1","2","HGNC:738","OTTHUMG00000169967.2"
"ENSG00000139354.11","HAVANA","gene",NA,NA,"ENSG00000139354.11","protein_coding","GAS2L3","1","HGNC:27475","OTTHUMG00000170439.4"
"ENSG00000139364.10","HAVANA","gene",NA,NA,"ENSG00000139364.10","protein_coding","TMEM132B","2","HGNC:29397","OTTHUMG00000168520.2"
"ENSG00000139370.12","HAVANA","gene",NA,NA,"ENSG00000139370.12","protein_coding","SLC15A4","1","HGNC:23090","OTTHUMG00000168415.4"
"ENSG00000139372.15","HAVANA","gene",NA,NA,"ENSG00000139372.15","protein_coding","TDG","1","HGNC:11700","OTTHUMG00000168418.4"
"ENSG00000139405.16","HAVANA","gene",NA,NA,"ENSG00000139405.16","protein_coding","RITA1","2","HGNC:25925","OTTHUMG00000169643.4"
"ENSG00000139410.15","HAVANA","gene",NA,NA,"ENSG00000139410.15","protein_coding","SDSL","2","HGNC:30404","OTTHUMG00000169551.6"
"ENSG00000139428.12","HAVANA","gene",NA,NA,"ENSG00000139428.12","protein_coding","MMAB","2","HGNC:19331","OTTHUMG00000169255.6"
"ENSG00000139433.11","HAVANA","gene",NA,NA,"ENSG00000139433.11","protein_coding","GLTP","2","HGNC:24867","OTTHUMG00000169278.3"
"ENSG00000139436.21","HAVANA","gene",NA,NA,"ENSG00000139436.21","protein_coding","GIT2","1","HGNC:4273","OTTHUMG00000169313.6"
"ENSG00000139437.18","HAVANA","gene",NA,NA,"ENSG00000139437.18","protein_coding","TCHP","2","HGNC:28135","OTTHUMG00000169281.4"
"ENSG00000139438.6","HAVANA","gene",NA,NA,"ENSG00000139438.6","protein_coding","FAM222A","2","HGNC:25915","OTTHUMG00000169260.2"
"ENSG00000139445.18","HAVANA","gene",NA,NA,"ENSG00000139445.18","protein_coding","FOXN4","2","HGNC:21399","OTTHUMG00000152868.4"
"ENSG00000139496.16","HAVANA","gene",NA,NA,"ENSG00000139496.16","protein_coding","NUP58","2","HGNC:20261","OTTHUMG00000016608.6"
"ENSG00000139505.11","HAVANA","gene",NA,NA,"ENSG00000139505.11","protein_coding","MTMR6","2","HGNC:7453","OTTHUMG00000016606.1"
"ENSG00000139508.15","HAVANA","gene",NA,NA,"ENSG00000139508.15","protein_coding","SLC46A3","1","HGNC:27501","OTTHUMG00000016650.3"
"ENSG00000139514.13","HAVANA","gene",NA,NA,"ENSG00000139514.13","protein_coding","SLC7A1","2","HGNC:11057","OTTHUMG00000016658.6"
"ENSG00000139517.9","HAVANA","gene",NA,NA,"ENSG00000139517.9","protein_coding","LNX2","2","HGNC:20421","OTTHUMG00000016634.6"
"ENSG00000139531.13","HAVANA","gene",NA,NA,"ENSG00000139531.13","protein_coding","SUOX","2","HGNC:11460","OTTHUMG00000128503.6"
"ENSG00000139537.11","HAVANA","gene",NA,NA,"ENSG00000139537.11","protein_coding","CCDC65","2","HGNC:29937","OTTHUMG00000170401.2"
"ENSG00000139540.12","HAVANA","gene",NA,NA,"ENSG00000139540.12","protein_coding","SLC39A5","1","HGNC:20502","OTTHUMG00000156962.5"
"ENSG00000139546.11","HAVANA","gene",NA,NA,"ENSG00000139546.11","protein_coding","TARBP2","1","HGNC:11569","OTTHUMG00000169855.6"
"ENSG00000139547.7","HAVANA","gene",NA,NA,"ENSG00000139547.7","protein_coding","RDH16","2","HGNC:29674","OTTHUMG00000170895.2"
"ENSG00000139549.4","HAVANA","gene",NA,NA,"ENSG00000139549.4","protein_coding","DHH","2","HGNC:2865","OTTHUMG00000170408.4"
"ENSG00000139567.13","HAVANA","gene",NA,NA,"ENSG00000139567.13","protein_coding","ACVRL1","1","HGNC:175","OTTHUMG00000169507.5"
"ENSG00000139572.4","HAVANA","gene",NA,NA,"ENSG00000139572.4","protein_coding","GPR84","2","HGNC:4535","OTTHUMG00000169839.2"
"ENSG00000139579.13","HAVANA","gene",NA,NA,"ENSG00000139579.13","protein_coding","NABP2","2","HGNC:28412","OTTHUMG00000152527.6"
"ENSG00000139597.18","HAVANA","gene",NA,NA,"ENSG00000139597.18","protein_coding","N4BP2L1","1","HGNC:25037","OTTHUMG00000016697.9"
"ENSG00000139613.12","HAVANA","gene",NA,NA,"ENSG00000139613.12","protein_coding","SMARCC2","2","HGNC:11105","OTTHUMG00000170288.5"
"ENSG00000139618.16","HAVANA","gene",NA,NA,"ENSG00000139618.16","protein_coding","BRCA2","2","HGNC:1101","OTTHUMG00000017411.8"
"ENSG00000139620.13","HAVANA","gene",NA,NA,"ENSG00000139620.13","protein_coding","KANSL2","1","HGNC:26024","OTTHUMG00000170392.3"
"ENSG00000139624.14","HAVANA","gene",NA,NA,"ENSG00000139624.14","protein_coding","CERS5","1","HGNC:23749","OTTHUMG00000169819.11"
"ENSG00000139625.13","HAVANA","gene",NA,NA,"ENSG00000139625.13","protein_coding","MAP3K12","1","HGNC:6851","OTTHUMG00000169854.5"
"ENSG00000139626.16","HAVANA","gene",NA,NA,"ENSG00000139626.16","protein_coding","ITGB7","1","HGNC:6162","OTTHUMG00000169775.6"
"ENSG00000139629.16","HAVANA","gene",NA,NA,"ENSG00000139629.16","protein_coding","GALNT6","2","HGNC:4128","OTTHUMG00000185181.4"
"ENSG00000139631.19","HAVANA","gene",NA,NA,"ENSG00000139631.19","protein_coding","CSAD","1","HGNC:18966","OTTHUMG00000048076.12"
"ENSG00000139636.15","HAVANA","gene",NA,NA,"ENSG00000139636.15","protein_coding","LMBR1L","1","HGNC:18268","OTTHUMG00000150511.4"
"ENSG00000139641.13","HAVANA","gene",NA,NA,"ENSG00000139641.13","protein_coding","ESYT1","2","HGNC:29534","OTTHUMG00000170197.2"
"ENSG00000139644.13","HAVANA","gene",NA,NA,"ENSG00000139644.13","protein_coding","TMBIM6","2","HGNC:11723","OTTHUMG00000169652.9"
"ENSG00000139645.10","HAVANA","gene",NA,NA,"ENSG00000139645.10","protein_coding","ANKRD52","2","HGNC:26614","OTTHUMG00000170329.3"
"ENSG00000139651.11","HAVANA","gene",NA,NA,"ENSG00000139651.11","protein_coding","ZNF740","1","HGNC:27465","OTTHUMG00000170027.4"
"ENSG00000139668.9","HAVANA","gene",NA,NA,"ENSG00000139668.9","protein_coding","WDFY2","2","HGNC:20482","OTTHUMG00000017407.6"
"ENSG00000139675.12","HAVANA","gene",NA,NA,"ENSG00000139675.12","protein_coding","HNRNPA1L2","2","HGNC:27067","OTTHUMG00000016972.4"
"ENSG00000139679.15","HAVANA","gene",NA,NA,"ENSG00000139679.15","protein_coding","LPAR6","1","HGNC:15520","OTTHUMG00000016895.6"
"ENSG00000139684.15","HAVANA","gene",NA,NA,"ENSG00000139684.15","protein_coding","ESD","1","HGNC:3465","OTTHUMG00000016878.4"
"ENSG00000139687.16","HAVANA","gene",NA,NA,"ENSG00000139687.16","protein_coding","RB1","1","HGNC:9884","OTTHUMG00000016900.7"
"ENSG00000139697.14","HAVANA","gene",NA,NA,"ENSG00000139697.14","protein_coding","SBNO1","2","HGNC:22973","OTTHUMG00000183988.3"
"ENSG00000139714.12","HAVANA","gene",NA,NA,"ENSG00000139714.12","protein_coding","MORN3","2","HGNC:29807","OTTHUMG00000169075.2"
